Nom: RuntimeBroker, PID: 2992
Nom: AdobeCollabSync, PID: 2540
Nom: AdobeCollabSync, PID: 14472
Nom: svchost, PID: 9704
Nom: Video.UI, PID: 9696
Nom: XboxPcAppFT, PID: 6968
Nom: RuntimeBroker, PID: 9136
Nom: dllhost, PID: 18012
Nom: Unity Hub, PID: 8268
Nom: Unity Hub, PID: 2196
Nom: Unity Hub, PID: 3684
Nom: Unity Hub, PID: 14048
Nom: Unity.Licensing.Client, PID: 7948
Nom: Unity Hub, PID: 7436
Nom: Unity Hub, PID: 12284
Nom: cmd, PID: 2876
Nom: conhost, PID: 9408
Nom: Unity Hub, PID: 4176
Nom: Unity Hub, PID: 10152
Nom: Unity Hub, PID: 15596
Nom: firefox, PID: 13168
Nom: firefox, PID: 14652
Nom: firefox, PID: 14228
Nom: firefox, PID: 16368
Nom: firefox, PID: 4268
Nom: firefox, PID: 15388
Nom: firefox, PID: 3404
Nom: firefox, PID: 11604
Nom: firefox, PID: 1628
Nom: firefox, PID: 17640
Nom: firefox, PID: 13608
Nom: svchost, PID: 8344
Nom: taskhostw, PID: 5232
Nom: svchost, PID: 8356
Nom: firefox, PID: 23640
Nom: firefox, PID: 10592
Nom: firefox, PID: 23724
Nom: WhatsApp, PID: 19536
Nom: RuntimeBroker, PID: 4272
Nom: svchost, PID: 15896
Nom: VBCSCompiler, PID: 25532
Nom: conhost, PID: 2328
Nom: StandardCollector.Service, PID: 5716
Nom: CCXProcess, PID: 18952
Nom: node, PID: 6240
Nom: conhost, PID: 15664
Nom: AdobeIPCBroker, PID: 16932
Nom: Adobe Crash Processor, PID: 17644
Nom: audiodg, PID: 20384
Nom: SearchProtocolHost, PID: 7140
Nom: dllhost, PID: 22380
Nom: smartscreen, PID: 21292
Nom: devenv, PID: 18968
Nom: PerfWatson2, PID: 15380
Nom: Microsoft.ServiceHub.Controller, PID: 4688
Nom: ServiceHub.VSDetouredHost, PID: 19960
Nom: ServiceHub.IdentityHost, PID: 25276
Nom: ServiceHub.Host.dotnet.x64, PID: 22860
Nom: ServiceHub.ThreadedWaitDialog, PID: 10900
Nom: ServiceHub.RoslynCodeAnalysisService, PID: 10048
Nom: SearchProtocolHost, PID: 24980
Nom: MSBuild, PID: 14696
Nom: conhost, PID: 7596
Nom: ServiceHub.IntellicodeModelService, PID: 18864
Nom: copilot-language-server, PID: 12296
Nom: ServiceHub.IndexingService, PID: 6040
Nom: conhost, PID: 20344
Nom: ServiceHub.TestWindowStoreHost, PID: 23332
Nom: SearchFilterHost, PID: 22960
Nom: backgroundTaskHost, PID: 9228
Nom: backgroundTaskHost, PID: 9412
Nom: RuntimeBroker, PID: 13084
Nom: svchost, PID: 2920
Nom: RuntimeBroker, PID: 22020
Nom: MSBuild, PID: 8652
Nom: conhost, PID: 5292
Nom: VsDebugConsole, PID: 20176
Nom: conhost, PID: 20100
Nom: ServiceHub.DataWarehouseHost, PID: 20448
Nom: ExerciciosProcesos, PID: 24848
